year,male,female
1996,11.97944,1.71192
1997,11.48508,1.860289
1998,13.05255,1.777482
1999,12.82792,1.834275
2000,17.53683,2.69615
2001,18.80452,2.945508
2002,17.88378,3.088813
2003,18.17283,3.112759
2004,18.62864,3.206247
2004,15.98352337,18.02147102
1953,1.927473,0.3979131
1954,3.257846,0.703688
1955,2.832612,0.3914769
1956,2.222309,0.3340232
1957,1.509441,0.2548287
1958,4.607212,1.547101
1959,5.305804,1.930941
1960,5.658239,1.765069
1961,6.966426,2.893297
1962,8.855237,2.765813
1963,8.351048,3.251587
1964,8.53073,3.631145
1965,11.05097,4.938983
1966,10.16444,4.73882
1967,11.5099,5.493619
1968,8.16477,2.756773
1969,6.431482,1.631767
1972,7.24022,2.245594
1974,7.248097,2.267192
1975,6.700744,2.168202
1976,6.727814,1.939155
1977,5.989031,1.501226
1984,7.092669,1.580137
1985,6.762831,1.499763
1986,6.019554,1.425974
1987,5.360235,1.123727
1988,5.296733,0.9852467
1989,4.640345,1.013285
1990,4.58136,1.137153
1991,5.343418,1.249398
1992,5.882868,1.350895
1993,5.963886,1.260327
1994,6.272415,1.526278
1995,5.592937,1.387697
1996,5.911886,1.302763
1997,5.70885,1.404484
1998,9.129813,2.406739
1999,9.395199,2.301252
2000,9.830948,2.505282
2001,9.949824,2.501183
2002,9.256611,2.506116
2004,8.890985,2.180043
2004,6.18409729,3.550222635
2004,13.14991283,6.957852364
2004,5.35080862,3.290148497
1962,5.527928,0.8727162
1963,8.564259,1.64262
1964,7.331346,1.174007
1965,6.126972,0.498162
1966,8.63411,0.7799269
1967,8.684781,0.4272753
1968,7.344354,0.6360087
1969,8.362664,0.5877427
1970,6.112966,0.6645824
1971,8.017241,1.125805
1972,7.379571,1.363301
1973,6.336791,1.356756
1974,8.985533,1.576568
1975,9.019467,2.115221
1976,13.07302,2.641876
1977,8.485324,2.350467
1978,8.334862,1.839676
1979,7.694184,1.295663
1980,10.61525,2.385492
1981,8.247713,1.513461
1982,8.343644,1.949306
1983,11.52164,1.563824
1984,9.22881,1.794858
1985,10.31565,1.326825
1986,11.83093,0.9740071
1987,8.937768,1.57761
1988,11.4233,1.248714
1989,11.01365,2.198613
1990,11.13284,1.337344
1991,8.739034,1.246473
1992,9.651018,1.535387
1993,10.33389,1.856192
1994,9.501804,1.901241
1995,10.86659,2.291895
1996,11.41977,1.38356
1997,9.966523,1.613845
1998,11.70698,1.299603
1999,12.00752,1.254674
2000,11.74255,1.522919
2001,9.661507,1.455986
2002,12.34662,1.933612
2003,13.56202,2.442115
2004,14.01306,2.148408
2004,28.09916687,11.85433578
1985,30.38738,10.02628
1986,30.17093,9.546262
1987,32.17424,10.73183
1988,30.85986,11.11103
1989,28.04429,10.14025
1990,31.37354,10.20551
1991,30.06224,9.989329
1992,33.47615,9.034454
1993,30.59909,9.667844
1994,31.04424,9.080338
1995,26.88384,7.616956
1996,31.70749,8.89677
1997,28.80243,8.328824
1998,31.55601,9.316629
1999,30.4769,8.638062
2000,30.41285,7.595149
2001,25.77935,6.665844
2002,24.98528,6.912228
2003,25.6826,5.606805
2004,23.86886,7.074668
1964,15.97404,8.704844
1968,17.15462,10.60389
1969,13.42893,10.65689
1970,16.96527,11.06531
1971,19.81159,12.11019
1972,20.59531,13.99399
1973,25.1382,13.32282
1974,25.86386,16.35233
1975,25.26874,15.75323
1976,24.99421,17.38483
1977,23.97922,18.4484
1992,24.30702,17.22876
1993,25.27676,17.2061
1994,25.43201,14.70204
1995,24.45931,14.09523
1996,23.17361,11.42207
1997,23.30941,10.52007
1998,22.9506,10.80781
1999,23.68713,9.469912
2000,21.13802,8.589081
2001,19.1257,7.20769
2002,17.93988,7.033532
2003,17.50294,5.714284
2004,17.69127,5.674331
1999,0.265023,
2000,2.262353,
2004,0.980029,0.2754736
1986,28.8535,9.503201
1987,25.93634,8.125144
1988,25.40523,8.98777
1989,25.30838,8.210373
1990,26.55952,8.271993
1991,25.75252,7.742053
1992,27.11848,7.50093
1993,25.81005,7.470964
1994,24.32088,7.617469
1995,23.28092,6.44746
1996,21.61188,5.081792
1997,22.94675,5.25615
1998,22.166,4.965591
1999,22.2891,4.659358
2000,22.37462,5.038876
2001,22.12178,4.686975
2002,20.64323,4.675765
2003,23.33724,5.044152
2004,21.73415,4.079931
1953,28.34556,10.82814
1954,29.97081,10.28614
1955,28.36906,10.25148
